Corp,Corp Name,School,School Name,2019 Hold Harmless Grade
0630,Zionsville Community Schools,0517,Zionsville Pleasant View Elem Sch,A
0630,Zionsville Community Schools,0541,Union Elementary School,A
0630,Zionsville Community Schools,0542,Stonegate Elementary,A
0630,Zionsville Community Schools,0544,Boone Meadow,A
0665,Lebanon Community School Corp,0534,Perry Worth Elementary School,B
0665,Lebanon Community School Corp,0553,Lebanon Senior High School,B
0665,Lebanon Community School Corp,0557,Lebanon Middle School,B
0665,Lebanon Community School Corp,0561,Central Elementary School,B
0665,Lebanon Community School Corp,0565,Harney Elementary School,B
0665,Lebanon Community School Corp,0569,Hattie B Stokes Elementary School,C
0670,Brown County School Corporation,0571,Brown County Intermediate School,A
0670,Brown County School Corporation,0573,Brown County High School,B
0670,Brown County School Corporation,0577,Van Buren Elementary School,C
0670,Brown County School Corporation,0581,Helmsburg Elementary School,B
0670,Brown County School Corporation,0585,Sprunica Elementary School,B
0670,Brown County School Corporation,0587,Brown County Junior High,B
0750,Carroll Consolidated School Corp,0621,Carroll Senior High School,A
0750,Carroll Consolidated School Corp,0623,Carroll Junior High School,B
0750,Carroll Consolidated School Corp,0629,Carroll Elementary School,B
0755,Delphi Community School Corp,0609,Delphi Community Middle School,C
0755,Delphi Community School Corp,0637,Delphi Community High School,A
0755,Delphi Community School Corp,0641,Delphi Community Elementary School,B
0775,Pioneer Regional School Corp,0645,Pioneer Jr-Sr High School,B
0775,Pioneer Regional School Corp,0649,Pioneer Elementary School,C
0815,Southeastern School Corp,0689,Lewis Cass High School,A
0815,Southeastern School Corp,0691,Lewis Cass Junior High School ,A
0815,Southeastern School Corp,0695,Lewis Cass Elementary School,C
0875,Logansport Community Sch Corp,0701,Logansport Community High School,A
0875,Logansport Community Sch Corp,0702,Logansport Junior High School ,C
0875,Logansport Community Sch Corp,0705,Franklin Elementary School,D
0875,Logansport Community Sch Corp,0709,Fairview Elementary School,C
0875,Logansport Community Sch Corp,0711,Landis Elementary School,C
0875,Logansport Community Sch Corp,0713,Columbia Elementary School,C
0875,Logansport Community Sch Corp,0715,Columbia 6th Grade Academy ,D
0940,West Clark Community Schools,0765,Henryville Jr & Sr High School,B
0940,West Clark Community Schools,0767,Henryville Elementary School,B
0940,West Clark Community Schools,0777,Silver Creek High School,A
0940,West Clark Community Schools,0781,Silver Creek Middle School,A
0940,West Clark Community Schools,0789,Silver Creek Elementary School,B
0940,West Clark Community Schools,0813,William W Borden High School,A
0940,West Clark Community Schools,0815,William W Borden Elementary School,A
0940,West Clark Community Schools,0818,Silver Creek Primary School,B
1000,Clarksville Community School Corp,0833,Clarksville Senior High School,B
1000,Clarksville Community School Corp,0845,Clarksville Elementary School,A
1000,Clarksville Community School Corp,0851,Clarksville Middle School,A
1010,Greater Clark County Schools,0755,W E Wilson Elementary,C
1010,Greater Clark County Schools,0761,Thomas Jefferson Elementary School,B
1010,Greater Clark County Schools,0801,Northaven Elementary School,B
1010,Greater Clark County Schools,0805,Utica Elementary School,A
1010,Greater Clark County Schools,0807,New Washington Elementary School,B
1010,Greater Clark County Schools,0809,New Washington Middle/High School,A
1010,Greater Clark County Schools,0821,Charlestown Senior High School,A
1010,Greater Clark County Schools,0825,Jonathan Jennings Elementary Sch,B
1010,Greater Clark County Schools,0829,Pleasant Ridge Elementary School,B
1010,Greater Clark County Schools,0849,Jeffersonville High School,B
1010,Greater Clark County Schools,0853,Parkview Middle School,B
1010,Greater Clark County Schools,0863,Charlestown Middle School,B
1010,Greater Clark County Schools,0865,Bridgepoint Elementary School,C
1010,Greater Clark County Schools,0869,Maple Elementary School,C
1010,Greater Clark County Schools,0871,Riverside Elementary School,B
1010,Greater Clark County Schools,0877,Spring Hill Elementary School,C
1010,Greater Clark County Schools,0879,Parkwood Elementary School,C
1010,Greater Clark County Schools,0883,River Valley Middle School,C
1125,Clay Community Schools,0895,Clay City Elementary School,B
1125,Clay Community Schools,0897,Clay City Jr-Sr High School,B
1125,Clay Community Schools,0901,Jackson Township Elementary School,A
1125,Clay Community Schools,0907,Staunton Elementary School,A
1125,Clay Community Schools,0923,Van Buren Elementary School,A
1125,Clay Community Schools,0925,North Clay Middle School,C
1125,Clay Community Schools,0933,Northview High School,B
1125,Clay Community Schools,0941,East Side Elementary School,B
1125,Clay Community Schools,0942,Forest Park Elementary School,D
1125,Clay Community Schools,0949,Meridian Street Elementary School,A
1150,Clinton Central School Corporation,0957,Clinton Central Junior-Senior HS,Appeal Pending
1150,Clinton Central School Corporation,0961,Clinton Central Elementary School,A
1160,Clinton Prairie School Corporation,0977,Clinton Prairie Jr-Sr High School,C
1160,Clinton Prairie School Corporation,0981,Clinton Prairie Elementary School,B
1170,Community Schools of Frankfort,0997,Frankfort High School,Appeal Pending
1170,Community Schools of Frankfort,0999,Frankfort Middle School,D
1170,Community Schools of Frankfort,1014,Blue Ridge Primary Elementary Sch,D
1170,Community Schools of Frankfort,1015,Green Meadows Intermediate Elem,D
1170,Community Schools of Frankfort,1020,Suncrest Elementary School,B
1180,Rossville Con School District,1021,Rossville Middle/Senior High Sch,B
1180,Rossville Con School District,1033,Rossville Elementary School,C
1300,Crawford County Community Sch Corp,1037,South Crawford Elementary School,B
1300,Crawford County Community Sch Corp,1045,West Crawford Elementary School,B
1300,Crawford County Community Sch Corp,1059,Crawford County High School,A
1300,Crawford County Community Sch Corp,1061,Crawford County Middle School,B
1300,Crawford County Community Sch Corp,1065,East Crawford Elementary School,C
1315,Barr-Reeve Community Schools Inc,1069,Barr Reeve Middle/High School,A
1315,Barr-Reeve Community Schools Inc,1073,Barr Reeve Primary Grade School,A
1315,Barr-Reeve Community Schools Inc,1075,Barr Reeve Elementary School,A
1375,North Daviess Com Schools,1090,North Daviess Elementary School,B
1375,North Daviess Com Schools,1121,North Daviess Jr-Sr High School,B
1405,Washington Community Schools,1103,Lena Dunn Elementary School,F
1405,Washington Community Schools,1105,Veale Elementary School,A
1405,Washington Community Schools,1123,Washington Junior High School,C
1405,Washington Community Schools,1125,Washington High School,B
1405,Washington Community Schools,1129,North Elementary School,B
1405,Washington Community Schools,1133,Helen Griffith Elementary School,C
1560,Sunman-Dearborn Com Sch Corp,1189,North Dearborn Elementary School,A
1560,Sunman-Dearborn Com Sch Corp,1190,Sunman-Dearborn Middle School,B
1560,Sunman-Dearborn Com Sch Corp,1193,Bright Elementary School,B
1560,Sunman-Dearborn Com Sch Corp,7211,Sunman Elementary School,C
1560,Sunman-Dearborn Com Sch Corp,7213,East Central High School,A
1600,South Dearborn Community Sch Corp,1141,Dillsboro Elementary School,B
1600,South Dearborn Community Sch Corp,1165,Manchester Elementary School,B
1600,South Dearborn Community Sch Corp,1169,Moores Hill Elementary School,B
1600,South Dearborn Community Sch Corp,1172,South Dearborn Middle School,C
1600,South Dearborn Community Sch Corp,1179,South Dearborn High School,B
1600,South Dearborn Community Sch Corp,1197,Aurora Elementary School,C
1620,Lawrenceburg Community School Corp,1177,Lawrenceburg High School,A
1620,Lawrenceburg Community School Corp,1209,Greendale Middle School,B
1620,Lawrenceburg Community School Corp,1210,Lawrenceburg Primary School,C
1620,Lawrenceburg Community School Corp,1217,Central Elementary School,C
1655,Decatur County Community Schools,1263,South Decatur Jr-Sr High School,B
1655,Decatur County Community Schools,1265,South Decatur Elementary School,B
1655,Decatur County Community Schools,1266,North Decatur Elementary School,B
1655,Decatur County Community Schools,1267,North Decatur Jr-Sr High School,A
1730,Greensburg Community Schools,1268,Greensburg Community High School,B
1730,Greensburg Community Schools,1269,Greensburg Community Jr High,C
1730,Greensburg Community Schools,1270,Greensburg Elementary,A
1805,DeKalb Co Eastern Com Sch Dist,1317,Eastside Junior-Senior High School,B
1805,DeKalb Co Eastern Com Sch Dist,1321,Butler Elementary School,C
1805,DeKalb Co Eastern Com Sch Dist,1335,Riverdale Elementary School,A
1820,Garrett-Keyser-Butler Com Sch Corp,1325,Garrett High School,B
1820,Garrett-Keyser-Butler Com Sch Corp,1329,J E Ober Elementary School,C
1820,Garrett-Keyser-Butler Com Sch Corp,1331,Garrett Middle School,B
1835,DeKalb Co Ctl United Sch Dist,1341,Waterloo Elementary School,C
1835,DeKalb Co Ctl United Sch Dist,1345,DeKalb High School,B
1835,DeKalb Co Ctl United Sch Dist,1346,DeKalb Middle School,B
1835,DeKalb Co Ctl United Sch Dist,1351,James R Watson Elementary School,A
1835,DeKalb Co Ctl United Sch Dist,1357,McKenney-Harrison Elementary Sch,C
1835,DeKalb Co Ctl United Sch Dist,1359,Country Meadow Elementary School,C
1875,Delaware Community School Corp,1365,Royerton Elementary School,A
1875,Delaware Community School Corp,1367,Delta Middle School,B
1875,Delaware Community School Corp,1369,Delta High School,A
1875,Delaware Community School Corp,1409,Eaton Elementary School,B
1875,Delaware Community School Corp,1520,Albany Elementary School,A
1885,Wes-Del Community Schools,1372,Wes-Del Middle/Senior High School,C
1885,Wes-Del Community Schools,1413,Wes-Del Elementary School,D
1895,Liberty-Perry Community Sch Corp,1375,Wapahani High School,B
1895,Liberty-Perry Community Sch Corp,1377,Selma Middle School,A
1895,Liberty-Perry Community Sch Corp,1381,Selma Elementary School,C
1900,Cowan Community School Corp,1385,Cowan Elementary School,B
1900,Cowan Community School Corp,1386,Cowan High School,B
1910,Yorktown Community Schools,1387,Yorktown Middle School,C
1910,Yorktown Community Schools,1389,Yorktown High School,A
1910,Yorktown Community Schools,1393,Yorktown Elementary School,B
1910,Yorktown Community Schools,1395,Pleasant View Elementary School,B
1940,Daleville Community Schools,1401,Daleville Jr-Sr High School,B
1940,Daleville Community Schools,1405,Daleville Elementary School,C
1970,Muncie Community Schools,1421,Muncie Central High School,No Grade
1970,Muncie Community Schools,1431,Northside Middle School,No Grade
1970,Muncie Community Schools,1437,Southside Middle School,No Grade
1970,Muncie Community Schools,1470,Grissom Elementary School,No Grade
1970,Muncie Community Schools,1482,South View Elementary School,No Grade
1970,Muncie Community Schools,1485,Longfellow Elementary School,No Grade
1970,Muncie Community Schools,1496,North View Elementary School,No Grade
1970,Muncie Community Schools,1513,East Washington Academy,No Grade
1970,Muncie Community Schools,1517,West View Elementary School,No Grade
2040,Northeast Dubois Co Sch Corp,1543,Celestine Elementary School,B
2040,Northeast Dubois Co Sch Corp,1545,Northeast Dubois High School,B
2040,Northeast Dubois Co Sch Corp,1549,Dubois Middle School,A
2040,Northeast Dubois Co Sch Corp,1577,Dubois Elementary School,B
2100,Southeast Dubois Co Sch Corp,1563,Pine Ridge Elementary School,A
2100,Southeast Dubois Co Sch Corp,1581,Ferdinand Elementary School,A
2100,Southeast Dubois Co Sch Corp,1583,Forest Park Jr-Sr High School,A
2100,Southeast Dubois Co Sch Corp,1586,Cedar Crest Intermediate School,B
2110,Southwest Dubois Co Sch Corp,1529,Holland Elementary School,A
2110,Southwest Dubois Co Sch Corp,1587,Southridge Middle School,A
2110,Southwest Dubois Co Sch Corp,1588,Southridge High School,B
2110,Southwest Dubois Co Sch Corp,1590,Huntingburg Elementary School,B
2120,Greater Jasper Consolidated Schs,1569,Ireland Elementary School,B
2120,Greater Jasper Consolidated Schs,1575,Jasper Middle School,B
2120,Greater Jasper Consolidated Schs,1593,Jasper High School,A
2120,Greater Jasper Consolidated Schs,1597,Fifth Street Elementary School,B
2120,Greater Jasper Consolidated Schs,1601,Tenth Street School,B
2155,Fairfield Community Schools,1613,Fairfield Jr-Sr High School,B
2155,Fairfield Community Schools,1621,Millersburg Elementary- Middle Sch,B
2155,Fairfield Community Schools,1649,New Paris Elementary School,B
2155,Fairfield Community Schools,1652,Benton Elementary School,B
2260,Baugo Community Schools,1701,Jimtown High School,Appeal Pending
2260,Baugo Community Schools,1703,Jimtown Junior High School,B
2260,Baugo Community Schools,1705,Jimtown Elementary School,B
2260,Baugo Community Schools,1707,Jimtown Intermediate School,B
2270,Concord Community Schools,1713,Concord Junior High School,C
2270,Concord Community Schools,1715,Concord Community High School,B
2270,Concord Community Schools,1718,Concord Intermediate School,B
2270,Concord Community Schools,1721,Concord East Side Elementary Sch,B
2270,Concord Community Schools,1723,Concord Ox-Bow Elementary School,B
2270,Concord Community Schools,1725,Concord South Side Elementary Sch,C
2270,Concord Community Schools,1729,Concord West Side Elem School,B
2275,Middlebury Community Schools,1656,Jefferson Elementary School,B
2275,Middlebury Community Schools,1657,Northridge Middle School,A
2275,Middlebury Community Schools,1697,York Elementary School,C
2275,Middlebury Community Schools,1731,Heritage Intermediate School,C
2275,Middlebury Community Schools,1732,Middlebury Elementary School,B
2275,Middlebury Community Schools,1733,Northridge High School,A
2275,Middlebury Community Schools,1734,Orchard View School,B
2285,Wa-Nee Community Schools,1669,North Wood Middle School,B
2285,Wa-Nee Community Schools,1735,Wakarusa Elementary School,A
2285,Wa-Nee Community Schools,1737,North Wood High School,A
2285,Wa-Nee Community Schools,1743,Nappanee Elementary School,A
2285,Wa-Nee Community Schools,1747,Woodview Elementary School,B
2305,Elkhart Community Schools,1617,Cleveland Elementary School,B
2305,Elkhart Community Schools,1673,Osolo Elementary School,B
2305,Elkhart Community Schools,1679,Eastwood Elementary School,C
2305,Elkhart Community Schools,1681,Mary Feeser Elementary School,C
2305,Elkhart Community Schools,1693,Bristol Elementary School,C
2305,Elkhart Community Schools,1749,Elkhart Central High School,B
2305,Elkhart Community Schools,1750,Elkhart Memorial High School,B
2305,Elkhart Community Schools,1753,North Side Middle School,D
2305,Elkhart Community Schools,1761,West Side Middle School,C
2305,Elkhart Community Schools,1763,Pierre Moran Middle School,D
2305,Elkhart Community Schools,1765,Beardsley Elementary School,F
2305,Elkhart Community Schools,1769,Mary Beck Elementary School,D
2305,Elkhart Community Schools,1773,Mary Daly Elementary School,D
2305,Elkhart Community Schools,1777,Hawthorne Elementary School,F
2305,Elkhart Community Schools,1785,Pinewood Elementary School,C
2305,Elkhart Community Schools,1789,Monger Elementary School,B
2305,Elkhart Community Schools,1797,Riverview Elementary School,B
2305,Elkhart Community Schools,1801,Roosevelt STEAM Academy ,F
2305,Elkhart Community Schools,1817,Woodland Elementary School,B
2315,Goshen Community Schools,1629,Goshen Middle School,C
2315,Goshen Community Schools,1633,Model Elementary School,C
2315,Goshen Community Schools,1641,Waterford Elementary School,C
2315,Goshen Community Schools,1821,Goshen High School,B
2315,Goshen Community Schools,1829,Chamberlain Elementary School,C
2315,Goshen Community Schools,1833,Chandler Elementary School,C
2315,Goshen Community Schools,1843,Parkside Elementary School,A
2315,Goshen Community Schools,1847,Prairie View Elementary School,B
2315,Goshen Community Schools,1849,West Goshen Elementary School,A
2395,Fayette County School Corporation,1869,Everton Elementary School,A
2395,Fayette County School Corporation,1889,Connersville Sr High School,B
2395,Fayette County School Corporation,1895,Connersville Middle School,B
2395,Fayette County School Corporation,1897,Eastview Elementary School,A
2395,Fayette County School Corporation,1909,Frazee Elementary School,B
2395,Fayette County School Corporation,1913,Grandview Elementary School,B
2395,Fayette County School Corporation,1917,Maplewood Elementary School,D
2395,Fayette County School Corporation,1921,Fayette Central Elementary,A
2400,New Albany-Floyd Co Con Sch,1925,New Albany Senior High School,B
2400,New Albany-Floyd Co Con Sch,1929,Georgetown Elementary School,A
2400,New Albany-Floyd Co Con Sch,1930,Floyd Central High School,A
2400,New Albany-Floyd Co Con Sch,1931,Highland Hills Middle School,A
2400,New Albany-Floyd Co Con Sch,1933,Hazelwood Middle School,C
2400,New Albany-Floyd Co Con Sch,1937,Nathaniel Scribner Middle School,B
2400,New Albany-Floyd Co Con Sch,1943,Slate Run Elementary School,B
2400,New Albany-Floyd Co Con Sch,1949,Fairmont Elementary School,B
2400,New Albany-Floyd Co Con Sch,1953,Greenville Elementary School,A
2400,New Albany-Floyd Co Con Sch,1957,Grant Line Elementary School,B
2400,New Albany-Floyd Co Con Sch,1961,Green Valley Elementary School,B
2400,New Albany-Floyd Co Con Sch,1966,Floyds Knobs Elementary School,A
2400,New Albany-Floyd Co Con Sch,1974,Mount Tabor Elementary School,B
2400,New Albany-Floyd Co Con Sch,1981,S Ellen Jones Elementary School,B
2435,Attica Consolidated School Corp,2053,Attica High School,B
2435,Attica Consolidated School Corp,2057,Attica Elementary School,B
2440,Covington Community School Corp,2005,Covington Community High School,A
2440,Covington Community School Corp,2009,Covington Elementary School,A
2440,Covington Community School Corp,2013,Covington Middle School,B
2455,Southeast Fountain School Corp,2021,Southeast Fountain Elementary,A
2455,Southeast Fountain School Corp,2022,Fountain Central High School,C
2475,Franklin County Community Sch Corp,2082,Laurel School,B
2475,Franklin County Community Sch Corp,2083,Franklin County High,B
2475,Franklin County Community Sch Corp,2123,Franklin County Middle School ,C
2475,Franklin County Community Sch Corp,2125,Brookville Elementary School,B
2475,Franklin County Community Sch Corp,2127,Mount Carmel School,B
2645,Rochester Community School Corp,2173,Rochester Community High School,B
2645,Rochester Community School Corp,2177,Rochester Community Middle School,D
2645,Rochester Community School Corp,2181,Columbia Elementary School,D
2645,Rochester Community School Corp,2185,George M Riddle Elementary School,D
2650,Caston School Corporation,2157,Caston Elementary School,B
2650,Caston School Corporation,2159,Caston Jr-Sr High School,C
2725,East Gibson School Corporation,2189,Barton Township Elementary,A
2725,East Gibson School Corporation,2194,Waldo J Wood Memorial JHS,C
2725,East Gibson School Corporation,2201,Francisco Elementary School,B
2725,East Gibson School Corporation,2233,Waldo J Wood Memorial High,B
2725,East Gibson School Corporation,2237,Oakland City Elementary School,D
2735,North Gibson School Corp,2223,Princeton Comm Intermediate School,B
2735,North Gibson School Corp,2225,Princeton Community Middle,D
2735,North Gibson School Corp,2249,Princeton Community High School,B
2735,North Gibson School Corp,2257,Princeton Comm Primary School,B
2765,South Gibson School Corporation,2205,Haubstadt Community School,A
2765,South Gibson School Corporation,2211,Gibson Southern High School,A
2765,South Gibson School Corporation,2214,Fort Branch Community School,A
2765,South Gibson School Corporation,2241,Owensville Community School,B
2815,Eastbrook Community Sch Corp,2263,Eastbrook South Elementary,C
2815,Eastbrook Community Sch Corp,2264,Eastbrook North Elementary,C
2815,Eastbrook Community Sch Corp,2293,Eastbrook High School,A
2815,Eastbrook Community Sch Corp,2299,Eastbrook Junior High School,B
2825,Madison-Grant United School Corp,2321,Madison-Grant Jr./Sr. High School,B
2825,Madison-Grant United School Corp,2329,Park Elementary School,C
2825,Madison-Grant United School Corp,5037,Summitville School,C
2855,Mississinewa Community School Corp,2333,Mississinewa High School,A
2855,Mississinewa Community School Corp,2335,R J Baskett Middle School,C
2855,Mississinewa Community School Corp,2344,Westview Elementary School,C
2855,Mississinewa Community School Corp,2346,Northview Elementary School,C
2865,Marion Community Schools,2350,Justice Thurgood Marshall Intrmd,D
2865,Marion Community Schools,2351,Marion High School,B
2865,Marion Community Schools,2357,John L McCulloch Junior High Sch,F
2865,Marion Community Schools,2369,Allen Elementary School,B
2865,Marion Community Schools,2393,John W Kendall Elem School,C
2865,Marion Community Schools,2405,Riverview Elementary School,A
2865,Marion Community Schools,2409,Frances Slocum Elem School,B
2920,Bloomfield School District,2417,Bloomfield Elementary School,B
2920,Bloomfield School District,2419,Bloomfield Jr-Sr High School,B
2940,Eastern Greene Schools,2433,Eastern Greene Elementary School,B
2940,Eastern Greene Schools,2435,Eastern Greene High School,A
2940,Eastern Greene Schools,2436,Eastern Greene Middle School,A
2950,Linton-Stockton School Corporation,2437,Linton-Stockton High School,B
2950,Linton-Stockton School Corporation,2438,Linton-Stockton Middle School,C
2950,Linton-Stockton School Corporation,2441,Linton-Stockton Elementary,A
2960,M S D Shakamak Schools,2445,Shakamak Jr-Sr High School,A
2960,M S D Shakamak Schools,2449,Shakamak Elementary School,B
2980,White River Valley School District,2429,White River Valley High School,A
2980,White River Valley School District,2457,White River Valley Middle School,C
2980,White River Valley School District,2460,White River Valley Elementary Sch,B
3005,Hamilton Southeastern Schools,2466,Brooks School Elementary,A
3005,Hamilton Southeastern Schools,2468,New Britton Elementary School,A
3005,Hamilton Southeastern Schools,2469,Fishers Elementary School,A
3005,Hamilton Southeastern Schools,2470,Cumberland Road Elem School,A
3005,Hamilton Southeastern Schools,2471,Hoosier Road Elementary School,A
3005,Hamilton Southeastern Schools,2473,Fall Creek Elementary School,B
